hidden_layers,activation,epochs,learning_rate,batch_size,accuracy,mae,mse,r2
[4],relu,25,1.0,512,0.7911666666666667,0.20883333333333334,0.20883333333333334,-0.21237121781060053
[4],relu,25,0.1,16,0.8018333333333333,0.19816666666666666,0.19816666666666666,-0.15044643094717003
[4],relu,25,0.1,32,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,25,0.1,64,0.812,0.188,0.188,-0.09142436846796298
[4],relu,25,0.1,128,0.8106666666666666,0.18933333333333333,0.18933333333333333,-0.0991649668258916
[4],relu,25,0.1,256,0.7781666666666667,0.22183333333333333,0.22183333333333333,-0.28784205180040656
[4],relu,25,0.1,512,0.808,0.192,0.192,-0.11464616354174928
[4],relu,25,0.01,16,0.7991666666666667,0.20083333333333334,0.20083333333333334,-0.1659276276630277
[4],relu,25,0.01,32,0.7838333333333334,0.21616666666666667,0.21616666666666667,-0.25494450877920904
[4],relu,25,0.01,64,0.805,0.195,0.195,-0.13206250984708912
[4],relu,25,0.01,128,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,25,0.01,256,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,25,0.01,512,0.794,0.206,0.206,-0.195922446300002
[4],relu,25,0.001,16,0.7805,0.2195,0.2195,-0.27429600467403104
[4],relu,25,0.001,32,0.7983333333333333,0.20166666666666666,0.20166666666666666,-0.17076550163673332
[4],relu,25,0.001,64,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,25,0.001,128,0.7796666666666666,0.22033333333333333,0.22033333333333333,-0.27913387864773664
[4],relu,25,0.001,256,0.36,0.64,0.64,-2.715487211805831
[4],relu,25,0.001,512,0.343,0.657,0.657,-2.8141798408694236
[4],relu,25,0.0001,16,0.7751666666666667,0.22483333333333333,0.22483333333333333,-0.3052583981057464
[4],relu,25,0.0001,32,0.7631666666666667,0.23683333333333334,0.23683333333333334,-0.37492378332710574
[4],relu,25,0.0001,64,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,25,0.0001,128,0.7488333333333334,0.25116666666666665,0.25116666666666665,-0.4581352156748404
[4],relu,25,0.0001,256,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,25,0.0001,512,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,50,10.0,16,0.2225,0.7775,0.7775,-3.51373641746724
[4],relu,50,10.0,32,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,50,10.0,64,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,50,10.0,128,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,50,10.0,256,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,50,10.0,512,0.779,0.221,0.221,-0.28300417782670095
[4],relu,50,1.0,16,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,50,1.0,32,0.7958333333333333,0.20416666666666666,0.20416666666666666,-0.1852791235578497
[4],relu,50,1.0,64,0.7985,0.2015,0.2015,-0.16979792684199224
[4],relu,50,1.0,128,0.7891666666666667,0.21083333333333334,0.21083333333333334,-0.2239821153474939
[4],relu,50,1.0,256,0.7978333333333333,0.20216666666666666,0.20216666666666666,-0.17366822602095655
[4],relu,50,1.0,512,0.797,0.203,0.203,-0.17850609999466216
[4],relu,50,0.1,16,0.816,0.184,0.184,-0.06820257339417646
[4],relu,50,0.1,32,0.8135,0.1865,0.1865,-0.08271619531529306
[4],relu,50,0.1,64,0.8161666666666667,0.18383333333333332,0.18383333333333332,-0.06723499859943538
[4],relu,50,0.1,128,0.8176666666666667,0.18233333333333332,0.18233333333333332,-0.05852682544676546
[4],relu,50,0.1,256,0.8151666666666667,0.18483333333333332,0.18483333333333332,-0.07304044736788184
[4],relu,50,0.1,512,0.8168333333333333,0.18316666666666667,0.18316666666666667,-0.06336469942047085
[4],relu,50,0.01,16,0.8088333333333333,0.19116666666666668,0.19116666666666668,-0.1098082895680439
[4],relu,50,0.01,32,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,50,0.01,64,0.8071666666666667,0.19283333333333333,0.19283333333333333,-0.11948403751545489
[4],relu,50,0.01,128,0.8103333333333333,0.18966666666666668,0.18966666666666668,-0.10110011641537398
[4],relu,50,0.01,256,0.8031666666666667,0.19683333333333333,0.19683333333333333,-0.1427058325892412
[4],relu,50,0.01,512,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,50,0.001,16,0.6178333333333333,0.38216666666666665,0.38216666666666665,-1.2186490043413465
[4],relu,50,0.001,32,0.7876666666666666,0.21233333333333335,0.21233333333333335,-0.23269028850016382
[4],relu,50,0.001,64,0.7123333333333334,0.2876666666666667,0.2876666666666667,-0.6700340957231419
[4],relu,50,0.001,128,0.7953333333333333,0.20466666666666666,0.20466666666666666,-0.18818184794207315
[4],relu,50,0.001,256,0.22116666666666668,0.7788333333333334,0.7788333333333334,-3.5214770158251687
[4],relu,50,0.001,512,0.5025,0.4975,0.4975,-1.8882107623021889
[4],relu,50,0.0001,16,0.7545,0.2455,0.2455,-0.4252376726536431
[4],relu,50,0.0001,32,0.35083333333333333,0.6491666666666667,0.6491666666666667,-2.768703825516592
[4],relu,50,0.0001,64,0.6423333333333333,0.3576666666666667,0.3576666666666667,-1.0764155095144048
[4],relu,50,0.0001,128,0.7513333333333333,0.24866666666666667,0.24866666666666667,-0.443621593753724
[4],relu,50,0.0001,256,0.42383333333333334,0.5761666666666667,0.5761666666666667,-2.344906065419989
[4],relu,50,0.0001,512,0.7793333333333333,0.22066666666666668,0.22066666666666668,-0.2810690282372188
[4],relu,100,10.0,16,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,100,10.0,32,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,100,10.0,64,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,100,10.0,128,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,100,10.0,256,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,100,10.0,512,0.7793333333333333,0.22066666666666668,0.22066666666666668,-0.2810690282372188
[4],relu,100,1.0,16,0.7916666666666666,0.20833333333333334,0.20833333333333334,-0.2094684934263773
[4],relu,100,1.0,32,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,100,1.0,64,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,100,1.0,128,0.7793333333333333,0.22066666666666668,0.22066666666666668,-0.2810690282372188
[4],relu,100,1.0,256,0.777,0.223,0.223,-0.2946150753635943
[4],relu,100,1.0,512,0.7815,0.2185,0.2185,-0.26849055590558457
[4],relu,100,0.1,16,0.815,0.185,0.185,-0.07400802216262314
[4],relu,100,0.1,32,0.8153333333333334,0.18466666666666667,0.18466666666666667,-0.07207287257314077
[4],relu,100,0.1,64,0.8148333333333333,0.18516666666666667,0.18516666666666667,-0.07497559695736422
[4],relu,100,0.1,128,0.8168333333333333,0.18316666666666667,0.18316666666666667,-0.06336469942047085
[4],relu,100,0.1,256,0.8121666666666667,0.18783333333333332,0.18783333333333332,-0.09045679367322168
[4],relu,100,0.1,512,0.818,0.182,0.182,-0.05659167585728331
[4],relu,100,0.01,16,0.8075,0.1925,0.1925,-0.11754888792597273
[4],relu,100,0.01,32,0.8128333333333333,0.18716666666666668,0.18716666666666668,-0.08658649449425737
[4],relu,100,0.01,64,0.8088333333333333,0.19116666666666668,0.19116666666666668,-0.1098082895680439
[4],relu,100,0.01,128,0.8141666666666667,0.18583333333333332,0.18583333333333332,-0.07884589613632853
[4],relu,100,0.01,256,0.8153333333333334,0.18466666666666667,0.18466666666666667,-0.07207287257314077
[4],relu,100,0.01,512,0.8168333333333333,0.18316666666666667,0.18316666666666667,-0.06336469942047085
[4],relu,100,0.001,16,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,100,0.001,32,0.8046666666666666,0.19533333333333333,0.19533333333333333,-0.13399765943657127
[4],relu,100,0.001,64,0.779,0.221,0.221,-0.28300417782670095
[4],relu,100,0.001,128,0.6648333333333334,0.33516666666666667,0.33516666666666667,-0.9457929122243558
[4],relu,100,0.001,256,0.22116666666666668,0.7788333333333334,0.7788333333333334,-3.5214770158251687
[4],relu,100,0.001,512,0.30583333333333335,0.6941666666666667,0.6941666666666667,-3.029949020096689
[4],relu,100,0.0001,16,0.37066666666666664,0.6293333333333333,0.6293333333333333,-2.653562424942401
[4],relu,100,0.0001,32,0.6296666666666667,0.37033333333333335,0.37033333333333335,-1.1499511939147284
[4],relu,100,0.0001,64,0.37416666666666665,0.6258333333333334,0.6258333333333334,-2.6332433542528375
[4],relu,100,0.0001,128,0.7541666666666667,0.24583333333333332,0.24583333333333332,-0.42717282224312525
[4],relu,100,0.0001,256,0.383,0.617,0.617,-2.581961890131559
[4],relu,100,0.0001,512,0.25483333333333336,0.7451666666666666,0.7451666666666666,-3.326026907287466
[4],relu,250,10.0,16,0.7793333333333333,0.22066666666666668,0.22066666666666668,-0.2810690282372188
[4],relu,250,10.0,32,0.779,0.221,0.221,-0.28300417782670095
[4],relu,250,10.0,64,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,250,10.0,128,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,250,10.0,256,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,250,10.0,512,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,250,1.0,16,0.8166666666666667,0.18333333333333332,0.18333333333333332,-0.06433227421521215
[4],relu,250,1.0,32,0.779,0.221,0.221,-0.28300417782670095
[4],relu,250,1.0,64,0.7923333333333333,0.20766666666666667,0.20766666666666667,-0.205598194247413
[4],relu,250,1.0,128,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,250,1.0,256,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,250,1.0,512,0.787,0.213,0.213,-0.23656058767912813
[4],relu,250,0.1,16,0.8175,0.1825,0.1825,-0.05949440024150654
[4],relu,250,0.1,32,0.8146666666666667,0.18533333333333332,0.18533333333333332,-0.0759431717521053
[4],relu,250,0.1,64,0.8166666666666667,0.18333333333333332,0.18333333333333332,-0.06433227421521215
[4],relu,250,0.1,128,0.8168333333333333,0.18316666666666667,0.18316666666666667,-0.06336469942047085
[4],relu,250,0.1,256,0.8135,0.1865,0.1865,-0.08271619531529306
[4],relu,250,0.1,512,0.8145,0.1855,0.1855,-0.07691074654684638
[4],relu,250,0.01,16,0.8096666666666666,0.19033333333333333,0.19033333333333333,-0.10497041559433828
[4],relu,250,0.01,32,0.8086666666666666,0.19133333333333333,0.19133333333333333,-0.11077586436278497
[4],relu,250,0.01,64,0.816,0.184,0.184,-0.06820257339417646
[4],relu,250,0.01,128,0.8146666666666667,0.18533333333333332,0.18533333333333332,-0.0759431717521053
[4],relu,250,0.01,256,0.816,0.184,0.184,-0.06820257339417646
[4],relu,250,0.01,512,0.815,0.185,0.185,-0.07400802216262314
[4],relu,250,0.001,16,0.8036666666666666,0.19633333333333333,0.19633333333333333,-0.13980310820501796
[4],relu,250,0.001,32,0.8016666666666666,0.19833333333333333,0.19833333333333333,-0.1514140057419111
[4],relu,250,0.001,64,0.802,0.198,0.198,-0.14947885615242895
[4],relu,250,0.001,128,0.8085,0.1915,0.1915,-0.11174343915752605
[4],relu,250,0.001,256,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],relu,250,0.001,512,0.8058333333333333,0.19416666666666665,0.19416666666666665,-0.12722463587338373
[4],relu,250,0.0001,16,0.431,0.569,0.569,-2.303300349246122
[4],relu,250,0.0001,32,0.22133333333333333,0.7786666666666666,0.7786666666666666,-3.520509441030428
[4],relu,250,0.0001,64,0.7776666666666666,0.22233333333333333,0.22233333333333333,-0.2907447761846298
[4],relu,250,0.0001,128,0.5958333333333333,0.4041666666666667,0.4041666666666667,-1.3463688772471718
[4],relu,250,0.0001,256,0.7396666666666667,0.26033333333333336,0.26033333333333336,-0.5113518293856012
[4],relu,250,0.0001,512,0.24266666666666667,0.7573333333333333,0.7573333333333333,-3.3966598673035664
[4],sigmoid,1,10.0,16,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],sigmoid,1,10.0,32,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],sigmoid,1,10.0,64,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],sigmoid,1,10.0,128,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],sigmoid,1,10.0,256,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],sigmoid,1,10.0,512,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],sigmoid,1,1.0,16,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],sigmoid,1,1.0,32,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],sigmoid,1,1.0,64,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],sigmoid,1,1.0,128,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],sigmoid,1,1.0,256,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],sigmoid,1,1.0,512,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],sigmoid,1,0.1,16,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],sigmoid,1,0.1,32,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],sigmoid,1,0.1,64,0.8016666666666666,0.19833333333333333,0.19833333333333333,-0.1514140057419111
[4],sigmoid,1,0.1,128,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],sigmoid,1,0.1,256,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],sigmoid,1,0.1,512,0.7906666666666666,0.20933333333333334,0.20933333333333334,-0.215273942194824
[4],sigmoid,1,0.01,16,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],sigmoid,1,0.01,32,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],sigmoid,1,0.01,64,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],sigmoid,1,0.01,128,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],sigmoid,1,0.01,256,0.4605,0.5395,0.5395,-2.1320396105769466
[4],sigmoid,1,0.01,512,0.7826666666666666,0.21733333333333332,0.21733333333333332,-0.2617175323423968
[4],sigmoid,1,0.001,16,0.49516666666666664,0.5048333333333334,0.5048333333333334,-1.9307840532707976
[4],sigmoid,1,0.001,32,0.7231666666666666,0.2768333333333333,0.2768333333333333,-0.6071417340649701
[4],sigmoid,1,0.001,64,0.4698333333333333,0.5301666666666667,0.5301666666666667,-2.077855422071445
[4],sigmoid,1,0.001,128,0.2215,0.7785,0.7785,-3.519541866235687
[4],sigmoid,1,0.001,256,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],sigmoid,1,0.001,512,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],sigmoid,1,0.0001,16,0.22116666666666668,0.7788333333333334,0.7788333333333334,-3.5214770158251687
[4],sigmoid,1,0.0001,32,0.22116666666666668,0.7788333333333334,0.7788333333333334,-3.5214770158251687
[4],sigmoid,1,0.0001,64,0.22116666666666668,0.7788333333333334,0.7788333333333334,-3.5214770158251687
[4],sigmoid,1,0.0001,128,0.22116666666666668,0.7788333333333334,0.7788333333333334,-3.5214770158251687
[4],sigmoid,1,0.0001,256,0.7786666666666666,0.22133333333333333,0.22133333333333333,-0.28493932741618333
[4],sigmoid,1,0.0001,512,0.22116666666666668,0.7788333333333334,0.7788333333333334,-3.5214770158251687
[4],sigmoid,10,10.0,16,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],sigmoid,10,10.0,32,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],sigmoid,10,10.0,64,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],sigmoid,10,10.0,128,0.5666666666666667,0.43333333333333335,0.43333333333333335,-1.515694466326865
[4],sigmoid,10,10.0,256,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],sigmoid,10,10.0,512,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],sigmoid,10,1.0,16,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],sigmoid,10,1.0,32,0.7211666666666666,0.2788333333333333,0.2788333333333333,-0.6187526316018634
[4],sigmoid,10,1.0,64,0.5796666666666667,0.42033333333333334,0.42033333333333334,-1.4402236323370587
[4],sigmoid,10,1.0,128,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],sigmoid,10,1.0,256,0.7856666666666666,0.21433333333333332,0.21433333333333332,-0.24430118603705697
[4],sigmoid,10,1.0,512,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],sigmoid,10,0.1,16,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],sigmoid,10,0.1,32,0.7991666666666667,0.20083333333333334,0.20083333333333334,-0.1659276276630277
[4],sigmoid,10,0.1,64,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],sigmoid,10,0.1,128,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],sigmoid,10,0.1,256,0.8,0.2,0.2,-0.16108975368932232
[4],sigmoid,10,0.1,512,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],sigmoid,10,0.01,16,0.7803333333333333,0.21966666666666668,0.21966666666666668,-0.27526357946877233
[4],sigmoid,10,0.01,32,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],sigmoid,10,0.01,64,0.6143333333333333,0.38566666666666666,0.38566666666666666,-1.2389680750309098
[4],sigmoid,10,0.01,128,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],sigmoid,10,0.01,256,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],sigmoid,10,0.01,512,0.7936666666666666,0.20633333333333334,0.20633333333333334,-0.19785759588948415
[4],sigmoid,10,0.001,16,0.7136666666666667,0.28633333333333333,0.28633333333333333,-0.662293497365213
[4],sigmoid,10,0.001,32,0.7786666666666666,0.22133333333333333,0.22133333333333333,-0.28493932741618333
[4],sigmoid,10,0.001,64,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],sigmoid,10,0.001,128,0.7788333333333334,0.22116666666666668,0.22116666666666668,-0.28397175262144225
[4],sigmoid,10,0.001,256,0.22116666666666668,0.7788333333333334,0.7788333333333334,-3.5214770158251687
[4],sigmoid,10,0.001,512,0.7793333333333333,0.22066666666666668,0.22066666666666668,-0.2810690282372188
[4],sigmoid,10,0.0001,16,0.22116666666666668,0.7788333333333334,0.7788333333333334,-3.5214770158251687
