hidden_layers,activation,epochs,lr,batch_size,mae,mse,r2
[4],sigmoid,100,0.01,256,3323.934793545614,131718802.23835535,-0.0915454626083374
[4],sigmoid,100,0.01,512,3324.713118027447,131725279.81015885,-0.0915992259979248
[4],sigmoid,100,0.001,16,3327.134262675061,131741370.23591654,-0.09173262119293213
[4],sigmoid,100,0.001,32,3327.059843947947,131740811.03327961,-0.0917278528213501
[4],sigmoid,100,0.001,64,3327.0005464429123,131740439.08866268,-0.09172475337982178
[4],sigmoid,100,0.001,128,3326.956453127661,131740337.0744417,-0.09172403812408447
[4],sigmoid,100,0.001,256,3327.632960117467,131744854.4548574,-0.09176146984100342
[4],sigmoid,100,0.001,512,3326.7873070789083,131739053.70194392,-0.0917133092880249
[4],sigmoid,100,0.0001,16,3327.5943049870234,131744674.62772377,-0.09176003932952881
[4],sigmoid,100,0.0001,32,3327.3939414783054,131743264.5437261,-0.09174823760986328
[4],sigmoid,100,0.0001,64,3327.202985324069,131742062.37678862,-0.09173834323883057
[4],sigmoid,100,0.0001,128,3328.0595905736627,131747835.28321066,-0.09178614616394043
[4],sigmoid,100,0.0001,256,3327.1216138349155,131741412.70168573,-0.09173274040222168
[4],sigmoid,100,0.0001,512,3327.384918670796,131743309.34504795,-0.09174871444702148
[4],sigmoid,250,0.1,16,3193.0849958100584,130866094.66516793,-0.08447921276092529
[4],sigmoid,250,0.1,32,3195.0685974228863,130878821.82815324,-0.08458447456359863
[4],sigmoid,250,0.1,64,3196.7224626121374,130889442.51183897,-0.08467268943786621
[4],sigmoid,250,0.1,128,3193.9433867018765,130871599.72669457,-0.08452486991882324
[4],sigmoid,250,0.1,256,3198.1366523880274,130898526.412523,-0.08474791049957275
[4],sigmoid,250,0.1,512,3194.6397183211757,130876070.73544237,-0.08456194400787354
[4],sigmoid,250,0.01,16,3314.4610584690586,131656663.99942668,-0.09103059768676758
[4],sigmoid,250,0.01,32,3313.0862449484102,131647525.40286477,-0.09095489978790283
[4],sigmoid,250,0.01,64,3314.0512041346183,131654155.11912154,-0.09100985527038574
[4],sigmoid,250,0.01,128,3314.379459489112,131656097.52905978,-0.0910259485244751
[4],sigmoid,250,0.01,256,3314.612209644575,131657693.66874908,-0.09103906154632568
[4],sigmoid,250,0.01,512,3315.738850116429,131665007.55739617,-0.09109973907470703
[4],sigmoid,250,0.001,16,3326.4427260179464,131736595.73923206,-0.09169292449951172
[4],sigmoid,250,0.001,32,3326.5738603635796,131737381.64348269,-0.09169960021972656
[4],sigmoid,250,0.001,64,3326.38668145612,131736265.14301349,-0.09169018268585205
[4],sigmoid,250,0.001,128,3327.049001211895,131740758.38623321,-0.09172749519348145
[4],sigmoid,250,0.001,256,3326.776400698844,131738523.93893012,-0.09170913696289062
[4],sigmoid,250,0.001,512,3327.4997609548072,131743696.41341229,-0.09175193309783936
[4],sigmoid,250,0.0001,16,3327.4002699616512,131743267.71587807,-0.09174835681915283
[4],sigmoid,250,0.0001,32,3327.578106294205,131744602.26188573,-0.09175944328308105
[4],sigmoid,250,0.0001,64,3327.5301029122365,131744231.04542226,-0.09175634384155273
[4],sigmoid,250,0.0001,128,3327.5126758614415,131744173.3992003,-0.09175586700439453
[4],sigmoid,250,0.0001,256,3327.591495877591,131744620.65315032,-0.0917595624923706
[4],sigmoid,250,0.0001,512,3327.576113098332,131744604.66823111,-0.09175944328308105
[4],relu,1,0.1,16,3327.210730577876,131742197.50205523,-0.09173941612243652
[4],relu,1,0.1,32,3326.7034215537465,131737070.80918007,-0.09169697761535645
[4],relu,1,0.1,64,3327.1255922574987,131740037.10172455,-0.0917215347290039
[4],relu,1,0.1,128,3326.5226384343155,131735386.94300544,-0.091683030128479
[4],relu,1,0.1,256,3327.1299259903117,131741377.79502532,-0.09173262119293213
[4],relu,1,0.1,512,3327.0537358609354,131741053.88008012,-0.09172999858856201
[4],relu,1,0.01,16,3327.410173219294,131743465.58952367,-0.09175002574920654
[4],relu,1,0.01,32,3327.5479941230697,131744492.81194639,-0.0917586088180542
[4],relu,1,0.01,64,3326.9457099932033,131740406.48137186,-0.09172451496124268
[4],relu,1,0.01,128,3327.0992080826622,131741411.76272087,-0.09173297882080078
[4],relu,1,0.01,256,3327.2450509528817,131742250.77237195,-0.09173989295959473
[4],relu,1,0.01,512,3327.572418698711,131744609.09260416,-0.0917593240737915
[4],relu,1,0.001,16,3327.873852483478,131746480.69347315,-0.09177505970001221
[4],relu,1,0.001,32,3327.60364435653,131744386.58468758,-0.09175753593444824
[4],relu,1,0.001,64,3327.1786950797346,131741872.2773735,-0.0917367935180664
[4],relu,1,0.001,128,3327.2574070158503,131742619.06884632,-0.09174299240112305
[4],relu,1,0.001,256,3327.7881538515353,131746022.26825267,-0.09177112579345703
[4],relu,1,0.001,512,3327.0131361891854,131740941.56926338,-0.0917290449142456
[4],relu,1,0.0001,16,3327.1338546396396,131741456.38100258,-0.09173333644866943
[4],relu,1,0.0001,32,3327.025469720174,131740773.23191115,-0.09172749519348145
[4],relu,1,0.0001,64,3327.381991189199,131743267.8366438,-0.09174823760986328
[4],relu,1,0.0001,128,3327.0554639627503,131741136.43916576,-0.09173059463500977
[4],relu,1,0.0001,256,3327.503588989087,131744061.97714213,-0.09175491333007812
[4],relu,1,0.0001,512,3326.9908432619263,131740891.50834185,-0.09172868728637695
[4],relu,10,0.1,16,3319.7937704170768,131685170.0658469,-0.09126687049865723
[4],relu,10,0.1,32,3314.827512608063,131640590.58970012,-0.09089744091033936
[4],relu,10,0.1,64,3318.7227348454107,131656254.51412056,-0.09102725982666016
[4],relu,10,0.1,128,3316.49573127343,131640600.05106238,-0.0908975601196289
[4],relu,10,0.1,256,3322.568321492561,131701243.10683493,-0.09140002727508545
[4],relu,10,0.1,512,3320.1184804692575,131669138.4653272,-0.09113407135009766
[4],relu,10,0.01,16,3327.399206207349,131743076.92636982,-0.09174680709838867
[4],relu,10,0.01,32,3327.1920696250922,131740964.99450292,-0.09172916412353516
[4],relu,10,0.01,64,3326.8291350312147,131739023.03445509,-0.09171319007873535
[4],relu,10,0.01,128,3327.1903577289477,131740368.48112966,-0.09172439575195312
[4],relu,10,0.01,256,3326.854498351675,131737109.06345764,-0.0916973352432251
[4],relu,10,0.01,512,3327.229407771439,131740807.35358366,-0.09172797203063965
[4],relu,10,0.001,16,3327.855541291664,131746478.50152136,-0.0917748212814331
[4],relu,10,0.001,32,3327.4189012187117,131743099.11214362,-0.09174692630767822
[4],relu,10,0.001,64,3327.5935906164564,131744279.38030893,-0.09175670146942139
[4],relu,10,0.001,128,3326.9266185673823,131740239.32241558,-0.09172320365905762
[4],relu,10,0.001,256,3327.76533792349,131745950.82515365,-0.09177052974700928
[4],relu,10,0.001,512,3327.003939869645,131740548.65912367,-0.09172570705413818
