Kernel Size,Pooling Type,Optimizer,Epochs,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Precision,Recall,F1-Score
7,avg,SGD,5,1.4225370337249368,0.48655,1.455095267803111,0.48073333333333335,0.4820242628742667,0.48050396888091995,0.474732332989679
7,avg,SGD,50,0.8747504816693106,0.68835,1.0998886597917434,0.6317666666666667,0.6476288240664719,0.631294050587601,0.6338082053421428
7,avg,SGD,100,0.9015961536176645,0.682,1.0731777637562854,0.6291333333333333,0.6443056380073771,0.628628043828803,0.6323341124259103
7,avg,SGD,250,0.8891445280639989,0.6842,1.1206299145170984,0.611,0.6200182642932216,0.6111268105484433,0.6066661984143963
7,avg,SGD,350,1.0441638265445734,0.63225,1.2279003967630102,0.5717333333333333,0.6102450583040444,0.5716914908799093,0.5738564682018391
7,avg,RMSprop,5,2.1179996561852232,0.23015,2.1459367650620482,0.20736666666666667,0.22703701060283982,0.20748639698251883,0.16865932897472935
7,avg,RMSprop,50,2.344934957042621,0.30575,2.694882561298127,0.097,0.27863639818291375,0.09737299521710549,0.04783062985149304
7,avg,RMSprop,100,1.9845556802810378,0.2785,2.1861055927073703,0.24923333333333333,0.25891985915794236,0.2488566257622833,0.228838547950822
7,avg,RMSprop,250,2.3034697839408924,0.09755,2.3031122288805372,0.09843333333333333,0.9098433333333332,0.1,0.01792249567565927
7,avg,RMSprop,350,2.2705037441982587,0.14355,2.300345914921862,0.13536666666666666,0.33140815978894056,0.13548752793512508,0.0709314488471049
7,avg,Adam,5,1.2448502239907624,0.5538,1.2667334977616656,0.5505666666666666,0.5591103106273237,0.5497785305910596,0.546606365877072
7,avg,Adam,50,0.780082671125983,0.72245,1.0863179262648237,0.6357333333333334,0.6409144224351051,0.6355091249514355,0.635418681439867
7,avg,Adam,100,0.7471546709157859,0.73725,1.070636215362143,0.6350666666666667,0.6436754384304881,0.6344114815398105,0.6344286935752086
7,avg,Adam,250,0.8340172596797821,0.70195,1.1224669360099955,0.6188,0.6265125255778765,0.618494072040829,0.6163578204560501
7,avg,Adam,350,0.7757872996056915,0.7256,1.1146122382042256,0.6271,0.6394886688086223,0.626846852040117,0.6280044016668647
