Kernel Size,Pooling Type,Optimizer,Epochs,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Precision,Recall,F1-Score
3,max,SGD,5,1.3906684407762662,0.49805,1.3768695775498736,0.5037,0.5089153951872976,0.5024601608413702,0.48989539718011405
3,max,SGD,50,0.8704096826778096,0.69115,1.0411017856699356,0.6425333333333333,0.6545789122942962,0.6420087612356133,0.6386999396269537
3,max,SGD,100,0.8328612773281754,0.7051,1.0016343443951707,0.6527666666666667,0.6641158935457595,0.6528085878631601,0.6532228120936172
3,max,SGD,250,0.8765295121320493,0.6893,1.0531160288668693,0.6383333333333333,0.6525869453913239,0.6381112466881509,0.6362405450278916
3,max,SGD,350,0.6670368160032163,0.76645,0.9593312943235357,0.6803,0.6931145135111241,0.680115117790919,0.6824741673290602
3,max,RMSprop,5,1.645067923387904,0.4084,1.8070178782686275,0.35133333333333333,0.4303334355452935,0.35250819564553293,0.33419314941306116
3,max,RMSprop,50,1.6678177384054584,0.4063,1.90398212899553,0.36256666666666665,0.3703864741160593,0.3625515997211784,0.34981417397617326
3,max,RMSprop,100,1.5707333619427528,0.4374,1.8035341440363133,0.36816666666666664,0.39574353917728555,0.368022284072611,0.33497600032337393
3,max,RMSprop,250,1.5910925941102823,0.4247,1.6584361685083266,0.39626666666666666,0.43286542213655943,0.3970432218350711,0.3760579926854978
3,max,RMSprop,350,1.6668801520280778,0.4087,1.7635799489122757,0.367,0.4417819768582241,0.36749183153195475,0.36919831823346183
3,max,Adam,5,1.1362479955527434,0.59365,1.1923646820352432,0.5759666666666666,0.5899767592888392,0.5757976054566492,0.5682873561967952
3,max,Adam,50,0.6794625368847209,0.76055,0.9652644621564986,0.6785333333333333,0.6792291051851791,0.6781334354702523,0.6745232805085556
3,max,Adam,100,0.7519371737340453,0.73325,0.9756535869963625,0.6629666666666667,0.6641777352293502,0.66243647794831,0.6558571390117854
3,max,Adam,250,0.7377951285641664,0.7364,0.9534947950789269,0.6752333333333334,0.6776325942655923,0.6746641674436427,0.6715442844821993
3,max,Adam,350,0.63497634374412,0.77795,0.931105646934915,0.6906333333333333,0.691833649341475,0.6901768321626833,0.6895245951012595
